zip.code,90001,90002,90003,90004,90005,90006,90007,90008,90009,90010,90011,90012,90013,90014,90015,90016,90017,90018,90019,90020,90021,90022,90023,90024,90025,90026,90027,90028,90029,90030,90031,90032,90033,90034,90035,90036,90037,90038,90039,90040,90041,90042,90043,90044,90045,90046,90222,90223,90224,90230,90231,90232,90233,90239,90240,90241,90242,90245,90247,90248,90249,90250,90251,90254,90255,90260,90261,90262,90263,90264,90265,90266,90267,90270,90272,90274,90275,90277,90278,90280,90290,90291,90292,90293,90294,90295,90296,90301,90302,90303,90304,90305,90306,90307,90308,90309,90310,90312,90401,90402,90403,90404,90405,90406,90407,90408,90409,90410,90411,90501,90502,90503,90504,90505,90506,90507,90508,90509,90510,90601,90602,90603,90604,90605,90606,90607,90608,90609,90610,90623,90630,90631,90637,90638,90639,90640,90650,90651,90652,90660,90661,90662,90670,90671,90701,90702,90703,90706,90707,90710,90711,90712,90713,90714,90715,90716,90717,90723,90731,90732,90733,90734,90744,90745,90746,90747,90748,90749,90755,90801,90802,90803,90804,90805,90806,90807,90808,90809,90810,90813,90814,90815,90822,90831,90832,90833,90834,90835,90840,90846,90853,91001,91003,91006,91007,91008,91009,91010,91012,91016,91017,91020,91021,91023,91024,91025,91030,91031,91040,91041,91042,91043,91046,91066,91077,91101,91102,91103,91104,91105,91106,91107,91108,91109,91114,91115,91116,91117,91118,91125,91126,91201,91202,91203,91204,91205,91206,91207,91208,91209,91210,91214,91221,91222,91224,91225,91226,91301,91302,91303,91304,91305,91306,91307,91308,91309,91310,91311,91313,91316,91321,91322,91324,91325,91326,91327,91328,91330,91331,91333,91334,91335,91337,91340,91341,91342,91343,91344,91345,91346,91350,91351,91352,91353,91354,91355,91356,91357,91361,91362,91364,91365,91367,91372,91376,91380,91381,91382,91383,91384,91385,91386,91387,91390,91392,91393,91394,91395,91396,91401,91402,91403,91404,91405,91406,91407,91408,91409,91410,91411,91412,91413,91416,91423,91426,91436,91501,91502,91503,91504,91505,91506,91507,91508,91510,91521,91522,91523,91601,91602,91603,91604,91605,91606,91607,91608,91609,91610,91614,91616,91617,91618,91702,91706,91709,91710,91711,91714,91715,91716,91722,91723,91724,91731,91732,91733,91734,91740,91741,91744,91745,91746,91747,91748,91749,91750,91754,91755,91759,91765,91766,91767,91768,91769,91770,91773,91775,91776,91778,91780,91788,91789,91790,91791,91792,91793,91801,91802,91803,91804,91896,91899,92397,92821,92823,93243,93510,93523,93532,93534,93535,93536,93539,93543,93544,93550,93551,93552,93553,93560,93563,93584,93586,93590,93591
date.data.was.captured,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014,3/1/2014
number.of.participants,"6,362","6,042","8,264","3,063","2,008","4,623","2,112","1,874",< 5,22,"11,966",898,78,31,"1,306","3,260","1,865","3,639","3,251","1,828",82,"5,737","4,567",56,451,"2,978",754,670,"2,122",< 5,"2,518","2,678","4,430","1,514",644,401,"6,506","1,404",591,914,483,"3,191","2,392","9,002",418,223,"3,238",< 5,< 5,697,< 5,202,< 5,< 5,"1,032","2,014","2,424",80,"2,784",395,"1,400","6,482",< 5,45,"6,638","1,928",< 5,"6,642",< 5,< 5,10,35,< 5,"2,573",27,24,76,146,362,"7,671",9,282,64,25,< 5,< 5,< 5,"2,688","1,948","2,002","2,580",457,< 5,< 5,< 5,< 5,< 5,< 5,40,12,60,315,198,< 5,< 5,< 5,< 5,< 5,< 5,"1,977",584,366,601,269,< 5,< 5,< 5,< 5,< 5,"1,123","1,336",298,"1,762","2,114","1,771",< 5,< 5,< 5,< 5,< 5,< 5,73,< 5,977,< 5,"3,693","6,191",< 5,< 5,"3,634",< 5,< 5,601,< 5,637,< 5,437,"4,556",< 5,"1,244",< 5,728,434,< 5,893,"1,138",690,"4,450","3,064",262,< 5,< 5,"4,528","2,381",891,< 5,< 5,< 5,426,< 5,"1,704",132,"2,361","7,812","3,410",873,396,< 5,"2,523","6,159",345,404,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,851,< 5,365,307,< 5,< 5,"1,152",< 5,"1,363",< 5,116,< 5,< 5,49,< 5,205,< 5,352,< 5,747,< 5,< 5,< 5,< 5,603,< 5,"1,322","1,086",53,427,435,17,< 5,< 5,< 5,< 5,< 5,< 5,< 5,< 5,595,349,431,660,"1,591",709,94,105,< 5,< 5,186,< 5,< 5,< 5,< 5,< 5,50,47,"1,748","2,177",< 5,"2,019",162,< 5,< 5,< 5,467,< 5,376,"1,594",< 5,774,864,159,< 5,< 5,13,"7,775",< 5,< 5,"3,386",< 5,"2,460",< 5,"4,890","3,498",844,723,< 5,292,"1,155","3,081",< 5,153,233,439,< 5,< 5,< 5,141,< 5,271,< 5,< 5,< 5,106,< 5,< 5,314,< 5,< 5,"1,307",141,< 5,< 5,< 5,< 5,< 5,"1,746","5,425",163,< 5,"3,493","2,831",< 5,< 5,< 5,< 5,"1,288",< 5,< 5,< 5,241,< 5,27,269,313,< 5,464,302,222,< 5,< 5,< 5,< 5,< 5,< 5,"1,301",146,< 5,102,"3,698","2,404",545,< 5,< 5,< 5,< 5,< 5,< 5,< 5,"3,881","5,483",< 5,< 5,382,< 5,< 5,< 5,"1,584",800,780,"2,151","4,696","3,786",< 5,646,304,"6,450","1,479","2,024",< 5,"1,351",< 5,469,926,853,< 5,447,"5,146","3,447","2,480",< 5,"2,808",523,434,"1,557",< 5,757,< 5,420,"1,934",926,"1,153",< 5,"1,602",< 5,895,< 5,< 5,< 5,< 5,< 5,< 5,< 5,64,< 5,43,"2,753","5,651","1,824",< 5,862,15,"6,228","1,201","2,673",55,< 5,< 5,< 5,< 5,< 5,438
