GEOID,B19013_001E,SUMLEVEL,ST,COUNTY,BLKGRP,COMPONENT,NAME,TRACT,,,
15000US060371043202,58446,150,6,37,2,0,Block Group 2, Census Tract 1043.20, Los Angeles County, California,104320
15000US060371043203,47803,150,6,37,3,0,Block Group 3, Census Tract 1043.20, Los Angeles County, California,104320
15000US060371043204,39896,150,6,37,4,0,Block Group 4, Census Tract 1043.20, Los Angeles County, California,104320
15000US060371044011,41625,150,6,37,1,0,Block Group 1, Census Tract 1044.01, Los Angeles County, California,104401
15000US060371044012,78068,150,6,37,2,0,Block Group 2, Census Tract 1044.01, Los Angeles County, California,104401
15000US060371044031,46023,150,6,37,1,0,Block Group 1, Census Tract 1044.03, Los Angeles County, California,104403
15000US060371044032,34571,150,6,37,2,0,Block Group 2, Census Tract 1044.03, Los Angeles County, California,104403
15000US060371044041,36646,150,6,37,1,0,Block Group 1, Census Tract 1044.04, Los Angeles County, California,104404
15000US060371044042,50804,150,6,37,2,0,Block Group 2, Census Tract 1044.04, Los Angeles County, California,104404
15000US060371045001,44306,150,6,37,1,0,Block Group 1, Census Tract 1045, Los Angeles County, California,104500
15000US060371045002,53424,150,6,37,2,0,Block Group 2, Census Tract 1045, Los Angeles County, California,104500
15000US060371046101,38828,150,6,37,1,0,Block Group 1, Census Tract 1046.10, Los Angeles County, California,104610
15000US060371046102,49444,150,6,37,2,0,Block Group 2, Census Tract 1046.10, Los Angeles County, California,104610
15000US060371046201,34271,150,6,37,1,0,Block Group 1, Census Tract 1046.20, Los Angeles County, California,104620
15000US060371046202,51310,150,6,37,2,0,Block Group 2, Census Tract 1046.20, Los Angeles County, California,104620
15000US060371047011,41964,150,6,37,1,0,Block Group 1, Census Tract 1047.01, Los Angeles County, California,104701
15000US060371047012,19000,150,6,37,2,0,Block Group 2, Census Tract 1047.01, Los Angeles County, California,104701
15000US060371047013,37500,150,6,37,3,0,Block Group 3, Census Tract 1047.01, Los Angeles County, California,104701
15000US060371047031,41198,150,6,37,1,0,Block Group 1, Census Tract 1047.03, Los Angeles County, California,104703
15000US060371047032,50500,150,6,37,2,0,Block Group 2, Census Tract 1047.03, Los Angeles County, California,104703
15000US060371047041,54464,150,6,37,1,0,Block Group 1, Census Tract 1047.04, Los Angeles County, California,104704
15000US060371048101,67717,150,6,37,1,0,Block Group 1, Census Tract 1048.10, Los Angeles County, California,104810
15000US060371048102,41623,150,6,37,2,0,Block Group 2, Census Tract 1048.10, Los Angeles County, California,104810
15000US060371048103,56045,150,6,37,3,0,Block Group 3, Census Tract 1048.10, Los Angeles County, California,104810
15000US060371048211,38885,150,6,37,1,0,Block Group 1, Census Tract 1048.21, Los Angeles County, California,104821
15000US060371048212,52614,150,6,37,2,0,Block Group 2, Census Tract 1048.21, Los Angeles County, California,104821
15000US060371048221,34928,150,6,37,1,0,Block Group 1, Census Tract 1048.22, Los Angeles County, California,104822
15000US060371060101,75313,150,6,37,1,0,Block Group 1, Census Tract 1060.10, Los Angeles County, California,106010
15000US060371060201,94142,150,6,37,1,0,Block Group 1, Census Tract 1060.20, Los Angeles County, California,106020
15000US060371060202,71328,150,6,37,2,0,Block Group 2, Census Tract 1060.20, Los Angeles County, California,106020
15000US060371061111,57454,150,6,37,1,0,Block Group 1, Census Tract 1061.11, Los Angeles County, California,106111
15000US060371061112,96250,150,6,37,2,0,Block Group 2, Census Tract 1061.11, Los Angeles County, California,106111
15000US060371061121,59833,150,6,37,1,0,Block Group 1, Census Tract 1061.12, Los Angeles County, California,106112
15000US060371061122,79671,150,6,37,2,0,Block Group 2, Census Tract 1061.12, Los Angeles County, California,106112
15000US060371061131,59615,150,6,37,1,0,Block Group 1, Census Tract 1061.13, Los Angeles County, California,106113
15000US060371061132,68179,150,6,37,2,0,Block Group 2, Census Tract 1061.13, Los Angeles County, California,106113
15000US060371061141,38816,150,6,37,1,0,Block Group 1, Census Tract 1061.14, Los Angeles County, California,106114
15000US060371061142,55583,150,6,37,2,0,Block Group 2, Census Tract 1061.14, Los Angeles County, California,106114
15000US060371064031,61944,150,6,37,1,0,Block Group 1, Census Tract 1064.03, Los Angeles County, California,106403
15000US060371064032,54638,150,6,37,2,0,Block Group 2, Census Tract 1064.03, Los Angeles County, California,106403
15000US060371064033,62321,150,6,37,3,0,Block Group 3, Census Tract 1064.03, Los Angeles County, California,106403
15000US060371064051,37198,150,6,37,1,0,Block Group 1, Census Tract 1064.05, Los Angeles County, California,106405
15000US060371064052,63646,150,6,37,2,0,Block Group 2, Census Tract 1064.05, Los Angeles County, California,106405
15000US060371064053,53125,150,6,37,3,0,Block Group 3, Census Tract 1064.05, Los Angeles County, California,106405
15000US060371064061,66744,150,6,37,1,0,Block Group 1, Census Tract 1064.06, Los Angeles County, California,106406
15000US060371064062,96000,150,6,37,2,0,Block Group 2, Census Tract 1064.06, Los Angeles County, California,106406
15000US060371064063,66250,150,6,37,3,0,Block Group 3, Census Tract 1064.06, Los Angeles County, California,106406
15000US060371064071,33333,150,6,37,1,0,Block Group 1, Census Tract 1064.07, Los Angeles County, California,106407
15000US060371064072,29643,150,6,37,2,0,Block Group 2, Census Tract 1064.07, Los Angeles County, California,106407
15000US060371064081,45722,150,6,37,1,0,Block Group 1, Census Tract 1064.08, Los Angeles County, California,106408
15000US060371064082,32550,150,6,37,2,0,Block Group 2, Census Tract 1064.08, Los Angeles County, California,106408
15000US060371065101,82353,150,6,37,1,0,Block Group 1, Census Tract 1065.10, Los Angeles County, California,106510
15000US060371065102,47333,150,6,37,2,0,Block Group 2, Census Tract 1065.10, Los Angeles County, California,106510
15000US060371065103,94542,150,6,37,3,0,Block Group 3, Census Tract 1065.10, Los Angeles County, California,106510
15000US060371065201,56176,150,6,37,1,0,Block Group 1, Census Tract 1065.20, Los Angeles County, California,106520
15000US060371065202,46563,150,6,37,2,0,Block Group 2, Census Tract 1065.20, Los Angeles County, California,106520
15000US060371065203,66484,150,6,37,3,0,Block Group 3, Census Tract 1065.20, Los Angeles County, California,106520
15000US060371066031,96739,150,6,37,1,0,Block Group 1, Census Tract 1066.03, Los Angeles County, California,106603
15000US060371066032,103068,150,6,37,2,0,Block Group 2, Census Tract 1066.03, Los Angeles County, California,106603
15000US060371066041,69886,150,6,37,1,0,Block Group 1, Census Tract 1066.04, Los Angeles County, California,106604
15000US060371066042,52059,150,6,37,2,0,Block Group 2, Census Tract 1066.04, Los Angeles County, California,106604
15000US060371066043,45265,150,6,37,3,0,Block Group 3, Census Tract 1066.04, Los Angeles County, California,106604
15000US060371066044,42284,150,6,37,4,0,Block Group 4, Census Tract 1066.04, Los Angeles County, California,106604
15000US060371066411,106133,150,6,37,1,0,Block Group 1, Census Tract 1066.41, Los Angeles County, California,106641
15000US060371066421,113846,150,6,37,1,0,Block Group 1, Census Tract 1066.42, Los Angeles County, California,106642
15000US060371066422,62386,150,6,37,2,0,Block Group 2, Census Tract 1066.42, Los Angeles County, California,106642
15000US060371066423,75536,150,6,37,3,0,Block Group 3, Census Tract 1066.42, Los Angeles County, California,106642
15000US060371066431,140448,150,6,37,1,0,Block Group 1, Census Tract 1066.43, Los Angeles County, California,106643
15000US060371066432,99205,150,6,37,2,0,Block Group 2, Census Tract 1066.43, Los Angeles County, California,106643
15000US060371066433,83125,150,6,37,3,0,Block Group 3, Census Tract 1066.43, Los Angeles County, California,106643
15000US060371066451,94271,150,6,37,1,0,Block Group 1, Census Tract 1066.45, Los Angeles County, California,106645
15000US060371066452,115893,150,6,37,2,0,Block Group 2, Census Tract 1066.45, Los Angeles County, California,106645
15000US060371066461,89167,150,6,37,1,0,Block Group 1, Census Tract 1066.46, Los Angeles County, California,106646
15000US060371066462,75469,150,6,37,2,0,Block Group 2, Census Tract 1066.46, Los Angeles County, California,106646
15000US060371066481,44750,150,6,37,1,0,Block Group 1, Census Tract 1066.48, Los Angeles County, California,106648
15000US060371066482,30676,150,6,37,2,0,Block Group 2, Census Tract 1066.48, Los Angeles County, California,106648
15000US060371066491,61250,150,6,37,1,0,Block Group 1, Census Tract 1066.49, Los Angeles County, California,106649
15000US060371066492,86406,150,6,37,2,0,Block Group 2, Census Tract 1066.49, Los Angeles County, California,106649
15000US060371070101,65081,150,6,37,1,0,Block Group 1, Census Tract 1070.10, Los Angeles County, California,107010
15000US060371070201,54167,150,6,37,1,0,Block Group 1, Census Tract 1070.20, Los Angeles County, California,107020
15000US060371070202,56300,150,6,37,2,0,Block Group 2, Census Tract 1070.20, Los Angeles County, California,107020
15000US060371081011,101029,150,6,37,1,0,Block Group 1, Census Tract 1081.01, Los Angeles County, California,108101
15000US060371081021,101518,150,6,37,1,0,Block Group 1, Census Tract 1081.02, Los Angeles County, California,108102
15000US060371081031,119583,150,6,37,1,0,Block Group 1, Census Tract 1081.03, Los Angeles County, California,108103
